❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 1/120  training loss: 5.46  train accuracy: 7.00%  duration: 8.45s
 batch: 2/120  training loss: 3.87  train accuracy: 12.40%  duration: 8.14s
 batch: 3/120  training loss: 3.16  train accuracy: 14.20%  duration: 8.11s
 batch: 4/120  training loss: 2.93  train accuracy: 15.20%  duration: 8.08s
 batch: 5/120  training loss: 2.62  train accuracy: 17.60%  duration: 8.05s
 batch: 6/120  training loss: 2.59  train accuracy: 16.80%  duration: 8.15s
 batch: 7/120  training loss: 2.29  train accuracy: 23.60%  duration: 8.05s
 batch: 8/120  training loss: 2.41  train accuracy: 24.00%  duration: 8.23s
 batch: 9/120  training loss: 2.26  train accuracy: 24.20%  duration: 8.59s
 batch: 10/120  training loss: 2.16  train accuracy: 27.80%  duration: 7.86s
 batch: 11/120  training loss: 2.05  train accuracy: 30.20%  duration: 7.90s
 batch: 12/120  training loss: 2.00  train accuracy: 32.40%  duration: 7.85s
 batch: 13/120  training loss: 2.02  train accuracy: 33.60%  duration: 7.80s
 batch: 14/120  training loss: 1.96  train accuracy: 33.00%  duration: 7.81s
 batch: 15/120  training loss: 1.92  train accuracy: 35.00%  duration: 7.80s
 batch: 16/120  training loss: 1.91  train accuracy: 37.00%  duration: 7.62s
 batch: 17/120  training loss: 1.84  train accuracy: 40.20%  duration: 7.61s
 batch: 18/120  training loss: 1.78  train accuracy: 40.80%  duration: 7.71s
 batch: 19/120  training loss: 1.74  train accuracy: 42.20%  duration: 7.63s
 batch: 20/120  training loss: 1.63  train accuracy: 46.20%  duration: 7.59s
 batch: 21/120  training loss: 1.65  train accuracy: 45.00%  duration: 7.76s
 batch: 22/120  training loss: 1.64  train accuracy: 47.80%  duration: 7.66s
 batch: 23/120  training loss: 1.58  train accuracy: 49.20%  duration: 7.60s
 batch: 24/120  training loss: 1.69  train accuracy: 44.80%  duration: 7.61s
 batch: 25/120  training loss: 1.47  train accuracy: 53.00%  duration: 8.15s
 batch: 26/120  training loss: 1.59  train accuracy: 46.80%  duration: 8.82s
 batch: 27/120  training loss: 1.51  train accuracy: 55.00%  duration: 8.39s
 batch: 28/120  training loss: 1.47  train accuracy: 55.80%  duration: 7.80s
 batch: 29/120  training loss: 1.34  train accuracy: 56.20%  duration: 7.88s
 batch: 30/120  training loss: 1.40  train accuracy: 56.60%  duration: 7.72s
 batch: 31/120  training loss: 1.42  train accuracy: 53.20%  duration: 7.58s
 batch: 32/120  training loss: 1.47  train accuracy: 54.20%  duration: 7.59s
 batch: 33/120  training loss: 1.41  train accuracy: 57.60%  duration: 7.70s
 batch: 34/120  training loss: 1.31  train accuracy: 58.60%  duration: 12.52s
 batch: 35/120  training loss: 1.43  train accuracy: 56.20%  duration: 7.57s
 batch: 36/120  training loss: 1.23  train accuracy: 61.40%  duration: 7.54s
 batch: 37/120  training loss: 1.21  train accuracy: 64.20%  duration: 7.59s
 batch: 38/120  training loss: 1.23  train accuracy: 61.20%  duration: 7.53s
 batch: 39/120  training loss: 1.24  train accuracy: 61.80%  duration: 7.65s
 batch: 40/120  training loss: 1.31  train accuracy: 57.80%  duration: 7.82s
 batch: 41/120  training loss: 1.33  train accuracy: 56.60%  duration: 8.36s
 batch: 42/120  training loss: 1.24  train accuracy: 60.40%  duration: 8.03s
 batch: 43/120  training loss: 1.27  train accuracy: 60.20%  duration: 8.33s
 batch: 44/120  training loss: 1.15  train accuracy: 62.40%  duration: 8.34s
 batch: 45/120  training loss: 1.19  train accuracy: 61.60%  duration: 8.05s
 batch: 46/120  training loss: 1.11  train accuracy: 63.80%  duration: 8.18s
 batch: 47/120  training loss: 1.14  train accuracy: 64.00%  duration: 8.06s
 batch: 48/120  training loss: 1.04  train accuracy: 66.80%  duration: 8.14s
 batch: 49/120  training loss: 1.11  train accuracy: 65.20%  duration: 8.07s
 batch: 50/120  training loss: 1.06  train accuracy: 67.00%  duration: 8.02s
 batch: 51/120  training loss: 1.06  train accuracy: 66.60%  duration: 8.17s
 batch: 52/120  training loss: 1.19  train accuracy: 60.60%  duration: 8.31s
