After 20 epochs, the accuracy (91.08%) was still slowly improving, so may have gone higher, but was only a few percent higher than after 10 epochs (87.99%) so may have taken many more epochs to reach the maximum accuracy.

Test accuracy : 91.08%
Learning rate : 3e-2
Duration : 5h 30m 2s
Average epoch duration : 16m 30s
Regularization : None
Momentum : None

❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 1/120  training loss: 6.10  train accuracy: 15.40%  duration: 8.32s
 batch: 2/120  training loss: 4.75  train accuracy: 14.00%  duration: 8.29s
 batch: 3/120  training loss: 4.35  train accuracy: 12.20%  duration: 7.93s
 batch: 4/120  training loss: 3.65  train accuracy: 17.80%  duration: 7.72s
 batch: 5/120  training loss: 3.63  train accuracy: 17.40%  duration: 8.45s
 batch: 6/120  training loss: 3.27  train accuracy: 19.40%  duration: 7.72s
 batch: 7/120  training loss: 3.37  train accuracy: 14.20%  duration: 7.74s
 batch: 8/120  training loss: 3.13  train accuracy: 17.00%  duration: 8.08s
 batch: 9/120  training loss: 2.89  train accuracy: 19.20%  duration: 8.12s
 batch: 10/120  training loss: 2.85  train accuracy: 23.40%  duration: 8.15s
 batch: 11/120  training loss: 2.76  train accuracy: 21.40%  duration: 7.98s
 batch: 12/120  training loss: 2.72  train accuracy: 23.60%  duration: 7.75s
 batch: 13/120  training loss: 2.57  train accuracy: 23.20%  duration: 7.72s
 batch: 14/120  training loss: 2.61  train accuracy: 23.40%  duration: 7.81s
 batch: 15/120  training loss: 2.47  train accuracy: 27.80%  duration: 7.88s
 batch: 16/120  training loss: 2.50  train accuracy: 24.00%  duration: 8.14s
 batch: 17/120  training loss: 2.43  train accuracy: 27.80%  duration: 8.00s
 batch: 18/120  training loss: 2.34  train accuracy: 26.20%  duration: 7.92s
 batch: 19/120  training loss: 2.22  train accuracy: 29.20%  duration: 8.25s
 batch: 20/120  training loss: 2.34  train accuracy: 29.40%  duration: 8.35s
 batch: 21/120  training loss: 2.19  train accuracy: 30.60%  duration: 7.81s
 batch: 22/120  training loss: 2.35  train accuracy: 28.60%  duration: 7.73s
 batch: 23/120  training loss: 2.07  train accuracy: 34.00%  duration: 7.97s
 batch: 24/120  training loss: 2.28  train accuracy: 29.40%  duration: 8.23s
 batch: 25/120  training loss: 2.18  train accuracy: 30.00%  duration: 7.90s
 batch: 26/120  training loss: 2.07  train accuracy: 33.20%  duration: 7.81s
 batch: 27/120  training loss: 2.00  train accuracy: 34.20%  duration: 7.75s
 batch: 28/120  training loss: 2.07  train accuracy: 36.40%  duration: 7.70s
 batch: 29/120  training loss: 1.98  train accuracy: 36.40%  duration: 7.68s
 batch: 30/120  training loss: 2.11  train accuracy: 34.20%  duration: 7.71s
 batch: 31/120  training loss: 2.00  train accuracy: 33.60%  duration: 7.72s
 batch: 32/120  training loss: 2.04  train accuracy: 33.80%  duration: 8.09s
 batch: 33/120  training loss: 1.90  train accuracy: 37.20%  duration: 8.07s
 batch: 34/120  training loss: 1.97  train accuracy: 36.40%  duration: 12.26s
 batch: 35/120  training loss: 1.96  train accuracy: 37.20%  duration: 8.20s
 batch: 36/120  training loss: 1.91  train accuracy: 36.60%  duration: 7.94s
 batch: 37/120  training loss: 1.89  train accuracy: 36.00%  duration: 7.95s
 batch: 38/120  training loss: 1.82  train accuracy: 40.80%  duration: 8.15s
 batch: 39/120  training loss: 1.81  train accuracy: 36.80%  duration: 7.69s
 batch: 40/120  training loss: 1.81  train accuracy: 39.60%  duration: 7.93s
 batch: 41/120  training loss: 1.71  train accuracy: 42.80%  duration: 7.96s
 batch: 42/120  training loss: 1.76  train accuracy: 39.80%  duration: 8.04s
 batch: 43/120  training loss: 1.69  train accuracy: 41.40%  duration: 7.73s
 batch: 44/120  training loss: 1.73  train accuracy: 42.20%  duration: 8.01s
 batch: 45/120  training loss: 1.67  train accuracy: 46.60%  duration: 7.81s
 batch: 46/120  training loss: 1.68  train accuracy: 44.20%  duration: 7.76s
 batch: 47/120  training loss: 1.73  train accuracy: 40.80%  duration: 7.68s
 batch: 48/120  training loss: 1.66  train accuracy: 44.60%  duration: 7.69s
 batch: 49/120  training loss: 1.65  train accuracy: 46.80%  duration: 7.68s
 batch: 50/120  training loss: 1.61  train accuracy: 45.80%  duration: 7.73s
 batch: 51/120  training loss: 1.57  train accuracy: 46.00%  duration: 7.80s
 batch: 52/120  training loss: 1.61  train accuracy: 44.60%  duration: 7.75s
 batch: 53/120  training loss: 1.62  train accuracy: 45.60%  duration: 7.74s
 batch: 54/120  training loss: 1.64  train accuracy: 44.20%  duration: 8.08s
 batch: 55/120  training loss: 1.60  train accuracy: 43.40%  duration: 8.65s
 batch: 56/120  training loss: 1.53  train accuracy: 47.40%  duration: 8.07s
 batch: 57/120  training loss: 1.65  train accuracy: 43.40%  duration: 7.83s
 batch: 58/120  training loss: 1.57  train accuracy: 45.80%  duration: 7.71s
 batch: 59/120  training loss: 1.44  train accuracy: 48.80%  duration: 7.73s
 batch: 60/120  training loss: 1.51  train accuracy: 52.40%  duration: 7.73s
 batch: 61/120  training loss: 1.52  train accuracy: 48.80%  duration: 7.72s
 batch: 62/120  training loss: 1.49  train accuracy: 50.20%  duration: 7.70s
 batch: 63/120  training loss: 1.50  train accuracy: 47.60%  duration: 7.69s
 batch: 64/120  training loss: 1.48  train accuracy: 49.80%  duration: 7.74s
 batch: 65/120  training loss: 1.45  train accuracy: 48.80%  duration: 7.88s
 batch: 66/120  training loss: 1.46  train accuracy: 52.40%  duration: 7.85s
 batch: 67/120  training loss: 1.46  train accuracy: 51.80%  duration: 7.85s
 batch: 68/120  training loss: 1.44  train accuracy: 52.00%  duration: 7.83s
 batch: 69/120  training loss: 1.38  train accuracy: 52.80%  duration: 7.77s
 batch: 70/120  training loss: 1.52  train accuracy: 48.60%  duration: 7.75s
 batch: 71/120  training loss: 1.37  train accuracy: 55.20%  duration: 7.76s
 batch: 72/120  training loss: 1.42  train accuracy: 52.00%  duration: 7.77s
 batch: 73/120  training loss: 1.47  train accuracy: 50.00%  duration: 7.73s
 batch: 74/120  training loss: 1.40  train accuracy: 51.80%  duration: 7.88s
 batch: 75/120  training loss: 1.33  train accuracy: 55.20%  duration: 7.79s
 batch: 76/120  training loss: 1.33  train accuracy: 56.40%  duration: 7.77s
 batch: 77/120  training loss: 1.27  train accuracy: 57.60%  duration: 7.82s
 batch: 78/120  training loss: 1.38  train accuracy: 53.40%  duration: 7.87s
 batch: 79/120  training loss: 1.44  train accuracy: 49.00%  duration: 7.75s
 batch: 80/120  training loss: 1.31  train accuracy: 53.60%  duration: 7.68s
 batch: 81/120  training loss: 1.30  train accuracy: 55.20%  duration: 7.85s
 batch: 82/120  training loss: 1.32  train accuracy: 59.00%  duration: 7.72s
 batch: 83/120  training loss: 1.39  train accuracy: 56.80%  duration: 8.15s
 batch: 84/120  training loss: 1.33  train accuracy: 52.40%  duration: 8.29s
 batch: 85/120  training loss: 1.28  train accuracy: 56.20%  duration: 8.50s
 batch: 86/120  training loss: 1.23  train accuracy: 58.60%  duration: 7.98s
 batch: 87/120  training loss: 1.32  train accuracy: 51.20%  duration: 8.07s
 batch: 88/120  training loss: 1.41  train accuracy: 56.80%  duration: 8.05s
 batch: 89/120  training loss: 1.31  train accuracy: 56.40%  duration: 8.27s
 batch: 90/120  training loss: 1.16  train accuracy: 57.40%  duration: 8.16s
 batch: 91/120  training loss: 1.21  train accuracy: 59.20%  duration: 9.12s
 batch: 92/120  training loss: 1.21  train accuracy: 58.60%  duration: 8.57s
 batch: 93/120  training loss: 1.18  train accuracy: 61.20%  duration: 8.16s
 batch: 94/120  training loss: 1.27  train accuracy: 58.20%  duration: 8.16s
 batch: 95/120  training loss: 1.28  train accuracy: 56.60%  duration: 8.19s
 batch: 96/120  training loss: 1.32  train accuracy: 56.40%  duration: 8.38s
 batch: 97/120  training loss: 1.25  train accuracy: 57.40%  duration: 9.00s
 batch: 98/120  training loss: 1.16  train accuracy: 61.20%  duration: 9.13s
 batch: 99/120  training loss: 1.21  train accuracy: 60.00%  duration: 9.18s
 batch: 100/120  training loss: 1.28  train accuracy: 56.00%  duration: 8.26s
 batch: 101/120  training loss: 1.18  train accuracy: 61.80%  duration: 7.89s
 batch: 102/120  training loss: 1.26  train accuracy: 56.60%  duration: 7.86s
 batch: 103/120  training loss: 1.26  train accuracy: 56.40%  duration: 8.09s
 batch: 104/120  training loss: 1.20  train accuracy: 56.60%  duration: 8.05s
 batch: 105/120  training loss: 1.11  train accuracy: 63.40%  duration: 7.79s
 batch: 106/120  training loss: 1.20  train accuracy: 58.80%  duration: 7.90s
 batch: 107/120  training loss: 1.13  train accuracy: 62.00%  duration: 7.72s
 batch: 108/120  training loss: 1.17  train accuracy: 60.40%  duration: 8.42s
 batch: 109/120  training loss: 1.19  train accuracy: 58.00%  duration: 8.36s
 batch: 110/120  training loss: 1.16  train accuracy: 59.60%  duration: 7.93s
 batch: 111/120  training loss: 1.19  train accuracy: 56.60%  duration: 8.00s
 batch: 112/120  training loss: 1.17  train accuracy: 60.80%  duration: 8.08s
 batch: 113/120  training loss: 1.13  train accuracy: 62.00%  duration: 7.90s
 batch: 114/120  training loss: 1.17  train accuracy: 62.80%  duration: 7.81s
 batch: 115/120  training loss: 1.29  train accuracy: 56.20%  duration: 7.88s
 batch: 116/120  training loss: 1.13  train accuracy: 61.60%  duration: 7.77s
 batch: 117/120  training loss: 1.04  train accuracy: 65.00%  duration: 8.24s
 batch: 118/120  training loss: 1.21  train accuracy: 60.00%  duration: 7.98s
 batch: 119/120  training loss: 1.10  train accuracy: 61.00%  duration: 7.72s
 batch: 120/120  training loss: 1.10  train accuracy: 61.40%  duration: 7.78s
 test accuracy: 64.01%  duration: 1017.66s (test: 55.91s)
epoch: 1
 batch: 1/120  training loss: 1.10  train accuracy: 63.60%  duration: 7.74s
 batch: 2/120  training loss: 1.11  train accuracy: 62.40%  duration: 7.83s
 batch: 3/120  training loss: 1.15  train accuracy: 62.20%  duration: 7.81s
 batch: 4/120  training loss: 1.09  train accuracy: 65.80%  duration: 7.79s
 batch: 5/120  training loss: 1.09  train accuracy: 62.20%  duration: 7.76s
 batch: 6/120  training loss: 1.06  train accuracy: 64.40%  duration: 7.71s
 batch: 7/120  training loss: 1.05  train accuracy: 67.00%  duration: 8.92s
 batch: 8/120  training loss: 1.07  train accuracy: 63.40%  duration: 7.77s
 batch: 9/120  training loss: 1.08  train accuracy: 65.60%  duration: 7.74s
 batch: 10/120  training loss: 1.04  train accuracy: 64.00%  duration: 7.78s
 batch: 11/120  training loss: 1.03  train accuracy: 65.40%  duration: 7.78s
 batch: 12/120  training loss: 1.07  train accuracy: 63.80%  duration: 7.71s
 batch: 13/120  training loss: 1.02  train accuracy: 64.20%  duration: 7.72s
 batch: 14/120  training loss: 1.10  train accuracy: 63.80%  duration: 7.72s
 batch: 15/120  training loss: 0.94  train accuracy: 67.20%  duration: 7.79s
 batch: 16/120  training loss: 1.11  train accuracy: 61.20%  duration: 7.71s
 batch: 17/120  training loss: 1.03  train accuracy: 67.40%  duration: 7.80s
 batch: 18/120  training loss: 1.09  train accuracy: 63.80%  duration: 7.75s
 batch: 19/120  training loss: 0.96  train accuracy: 67.40%  duration: 7.75s
 batch: 20/120  training loss: 1.01  train accuracy: 67.00%  duration: 8.09s
 batch: 21/120  training loss: 1.05  train accuracy: 65.80%  duration: 7.76s
